# Confirmed double-mode RR Lyrae stars from the Catalina Surveys Periodic Variable Star Catalog
#
# Pulsation parameters
#
# CSS_name             FM_period    FM_uncert    FM_amp O1_period    O1_uncert    O1_amp Period_ratio
# -                    day          day          mag    day          day          mag    -

CSS_J094051.0+345205   0.45982883   0.00000089   0.30   0.34159627   0.00000039   0.36   0.74287702
CSS_J095313.8-153827   0.47417699   0.00000125   0.23   0.35280038   0.00000046   0.36   0.74402678
CSS_J100441.1-044300   0.48864088   0.00000164   0.20   0.36406048   0.00000032   0.39   0.74504712
CSS_J102146.6+270500   0.50471178   0.00000175   0.33   0.37588822   0.00000072   0.38   0.74475817
CSS_J102323.5+264856   0.48387621   0.00000111   0.26   0.36003910   0.00000057   0.35   0.74407275
CSS_J103329.1+032627   0.55730528   0.00000182   0.23   0.41510336   0.00000067   0.37   0.74484017
CSS_J104003.0+414504   0.54306803   0.00000131   0.27   0.40483282   0.00000048   0.38   0.74545508
CSS_J104158.1+071242   0.53986780   0.00000138   0.13   0.40273755   0.00000031   0.37   0.74599291
CSS_J104306.1+090340   0.56007780   0.00000213   0.19   0.41751974   0.00000056   0.37   0.74546740
CSS_J104738.0-161419   0.46356808   0.00000089   0.47   0.34433667   0.00000057   0.34   0.74279633
CSS_J104804.2-051329   0.51630048   0.00000203   0.25   0.38475254   0.00000078   0.40   0.74521050
CSS_J105038.7+122727   0.50548711   0.00000128   0.32   0.37631118   0.00000053   0.38   0.74445257
CSS_J105731.4+045703   0.46926593   0.00000095   0.19   0.34875615   0.00000033   0.37   0.74319512
CSS_J105743.7+384647   0.49490213   0.00000151   0.33   0.36851045   0.00000072   0.41   0.74461278
CSS_J105957.1+375020   0.47450192   0.00000139   0.24   0.35263691   0.00000046   0.42   0.74317278
CSS_J110103.4+042821   0.47993850   0.00000103   0.23   0.35732175   0.00000041   0.36   0.74451570
CSS_J110237.7+231415   0.48954886   0.00000109   0.23   0.36445408   0.00000048   0.35   0.74446927
CSS_J110833.7+215237   0.50846551   0.00000128   0.32   0.37846041   0.00000067   0.34   0.74431874
CSS_J111552.4+105126   0.47256242   0.00000116   0.27   0.35145418   0.00000051   0.37   0.74372012
CSS_J112126.0+123448   0.51787234   0.00000176   0.20   0.38623819   0.00000046   0.40   0.74581738
CSS_J112521.1-111609   0.48310645   0.00000119   0.18   0.35972927   0.00000044   0.36   0.74461699
CSS_J112914.7+011533   0.51183442   0.00000131   0.18   0.38186052   0.00000033   0.37   0.74606260
