       #ID    TIME     MAG    MAGERR
      2552   69.9624  19.069  0.085
      2552   69.9828  19.122  0.080
      2552   70.0033  20.012  0.172
      2552   70.0237  19.348  0.080
      2552   70.1259  19.230  0.045
      2552   70.1463  19.260  0.052
      2552   70.1667  19.302  0.049
      2552   70.1872  19.300  0.047
      2552   70.2076  19.203  0.041
      2552   70.2280  19.205  0.045
      2552   70.2485  19.183  0.045
      2552   70.2689  19.118  0.038
      2552   70.2893  19.090  0.032
      2552   70.3098  19.072  0.036
      2552   70.3302  19.152  0.034
      2552   70.3506  19.107  0.033
      2552   70.3711  19.134  0.036
      2552   70.3915  19.083  0.040
      2552   70.4119  19.159  0.043
      2552   70.4324  19.187  0.046
      2552   70.4528  19.222  0.044
      2552   70.4732  19.182  0.044
      2552   70.4937  19.197  0.039
      2552   70.5141  19.237  0.037
      2552   70.5345  19.287  0.040
      2552   70.6163  19.627  0.053
      2552   70.6367  19.370  0.042
      2552   70.6571  19.181  0.038
      2552   70.6776  19.087  0.035
      2552   70.6980  19.148  0.041
      2552   70.7184  18.849  0.029
      2552   70.7797  19.373  0.059
      2552   70.8002  19.286  0.048
      2552   70.8206  19.376  0.042
      2552   70.8410  19.463  0.056
      2552   70.8615  19.258  0.037
      2552   70.8819  19.199  0.039
      2552   70.9024  19.221  0.042
      2552   70.9637  19.153  0.035
      2552   70.9841  19.228  0.040
      2552   71.0045  19.178  0.033
      2552   71.0250  19.127  0.027
      2552   71.0454  19.032  0.023
      2552   71.0658  19.104  0.026
      2552   71.0863  18.970  0.021
      2552   71.1271  18.941  0.022
      2552   71.1476  19.250  0.029
      2552   71.1680  19.308  0.038
      2552   71.1884  19.235  0.040
      2552   71.2089  19.270  0.055
      2552   71.2293  19.430  0.057
      2552   71.2497  19.325  0.039
      2552   71.2702  19.371  0.041
      2552   71.2906  19.233  0.037
      2552   71.3110  19.250  0.043
      2552   71.3315  19.279  0.036
      2552   71.3519  19.285  0.035
      2552   71.3723  19.304  0.033
      2552   71.4541  19.277  0.034
      2552   71.4745  19.261  0.036
      2552   71.4949  19.239  0.036
      2552   71.5154  19.249  0.033
      2552   71.5358  19.289  0.038
      2552   71.5562  19.239  0.035
      2552   71.5767  19.151  0.037
      2552   71.5971  19.142  0.038
      2552   71.6175  19.250  0.030
      2552   71.6380  19.320  0.036
      2552   71.6584  19.358  0.035
      2552   71.6788  19.252  0.035
      2552   71.6993  19.237  0.038
      2552   71.7197  19.247  0.042
      2552   71.7401  19.365  0.054
      2552   71.7606  19.226  0.042
      2552   71.7810  19.226  0.047
      2552   71.8014  19.102  0.038
      2552   71.8219  19.182  0.036
      2552   71.8423  19.267  0.041
      2552   71.8627  19.324  0.045
      2552   71.8832  19.387  0.055
      2552   71.9036  19.377  0.052
      2552   71.9240  20.281  0.147
      2552   71.9853  19.172  0.043
      2552   72.0058  19.255  0.036
      2552   72.0262  19.277  0.038
      2552   72.0466  19.194  0.030
      2552   72.0671  19.213  0.028
      2552   72.0875  19.258  0.026
      2552   72.1079  19.302  0.029
      2552   72.1284  19.343  0.035
      2552   72.1488  19.375  0.041
      2552   72.1692  19.314  0.037
      2552   72.1897  19.401  0.041
      2552   72.2101  19.428  0.041
      2552   72.2305  19.566  0.044
      2552   72.2510  19.560  0.043
      2552   72.2918  19.149  0.028
      2552   72.3123  19.174  0.030
      2552   72.3327  19.212  0.023
      2552   72.3531  19.270  0.023
      2552   72.3736  19.319  0.029
      2552   72.3940  19.382  0.032
      2552   72.4144  19.434  0.031
      2552   72.4349  19.494  0.032
      2552   72.4553  19.356  0.033
      2552   72.4757  19.330  0.034
      2552   72.4962  19.272  0.035
      2552   72.5166  19.238  0.030
      2552   72.5370  19.234  0.034
      2552   72.5575  19.242  0.032
      2552   72.5779  19.222  0.035
      2552   72.5983  19.335  0.042
      2552   72.6188  19.257  0.036
      2552   72.6392  19.381  0.045
      2785   85.2672  18.069  0.011
      2785   85.2876  18.115  0.010
      2785   85.3285  17.749  0.008
      2785   85.3489  17.719  0.008
      2785   85.3693  17.902  0.011
      2785   85.4102  17.899  0.011
      2785   85.4306  17.851  0.017
      2785   85.4715  18.119  0.012
      2785   85.4919  18.026  0.012
      2785   85.5124  18.081  0.012
      2785   85.5328  17.931  0.008
      2785   85.5737  17.875  0.009
      2785   85.5941  17.930  0.011
      2785   85.6145  18.031  0.011
      2785   85.6350  17.889  0.011
      2785   85.6554  17.798  0.009
      2785   85.6758  17.759  0.007
      2785   85.6963  17.806  0.008
      2785   85.7371  18.043  0.008
      2785   85.7576  17.813  0.008
      2785   85.7780  17.726  0.007
      2785   85.7984  17.718  0.007
      2785   85.8189  17.864  0.010
      2785   85.8393  18.014  0.010
      2785   85.9006  17.719  0.010
      2785   85.9210  17.834  0.011
      2785   85.9415  18.041  0.011
      2785   85.9619  18.053  0.010
      2785   85.9824  17.866  0.009
      2785   86.0028  17.731  0.008
      2785   86.0232  17.725  0.009
      2785   86.0437  17.840  0.009
      2785   86.0641  17.971  0.010
